text,category
Large crack visible in old building,building_crack
Wall il crack spreading,building_crack
Apartment building il crack scary,building_crack
Large crack visible in old building,building_crack
Old building structural issue,building_crack
Wall il crack spreading,building_crack
Old building structural issue,building_crack
Large crack visible in old building,building_crack
Apartment building il crack scary,building_crack
Wall il crack spreading,building_crack
Wall il crack spreading,building_crack
Apartment building il crack scary,building_crack
Large crack visible in old building,building_crack
Building il crack und danger aanu,building_crack
Wall il crack spreading,building_crack
Large crack visible in old building,building_crack
Wall il crack spreading,building_crack
Large crack visible in old building,building_crack
Large crack visible in old building,building_crack
Apartment building il crack scary,building_crack
Old building structural issue,building_crack
Old building structural issue,building_crack
Large crack visible in old building,building_crack
Old building structural issue,building_crack
Building il crack und danger aanu,building_crack
Building il crack und danger aanu,building_crack
Large crack visible in old building,building_crack
Large crack visible in old building,building_crack
Apartment building il crack scary,building_crack
Wall il crack spreading,building_crack
Old building structural issue,building_crack
Large crack visible in old building,building_crack
Old building structural issue,building_crack
Apartment building il crack scary,building_crack
Wall il crack spreading,building_crack
Wall il crack spreading,building_crack
Apartment building il crack scary,building_crack
Large crack visible in old building,building_crack
Apartment building il crack scary,building_crack
Apartment building il crack scary,building_crack
Old building structural issue,building_crack
Apartment building il crack scary,building_crack
Building il crack und danger aanu,building_crack
Building il crack und danger aanu,building_crack
Apartment building il crack scary,building_crack
Large crack visible in old building,building_crack
Apartment building il crack scary,building_crack
Apartment building il crack scary,building_crack
Wall il crack spreading,building_crack
Apartment building il crack scary,building_crack
Apartment building il crack scary,building_crack
Old building structural issue,building_crack
Building il crack und danger aanu,building_crack
Apartment building il crack scary,building_crack
Building il crack und danger aanu,building_crack
Large crack visible in old building,building_crack
Old building structural issue,building_crack
Wall il crack spreading,building_crack
Building il crack und danger aanu,building_crack
Wall il crack spreading,building_crack
Wall il crack spreading,building_crack
Apartment building il crack scary,building_crack
Large crack visible in old building,building_crack
Wall il crack spreading,building_crack
Apartment building il crack scary,building_crack
Apartment building il crack scary,building_crack
Wall il crack spreading,building_crack
Apartment building il crack scary,building_crack
Building il crack und danger aanu,building_crack
Building il crack und danger aanu,building_crack
Large crack visible in old building,building_crack
Large crack visible in old building,building_crack
Garbage collection illa ivide,garbage
Waste dumping issue in area,garbage
Garbage collection illa ivide,garbage
Waste dumping issue in area,garbage
Public place il garbage spread cheythu,garbage
Garbage collection illa ivide,garbage
Public place il garbage spread cheythu,garbage
Waste dumping issue in area,garbage
Garbage collection illa ivide,garbage
Public place il garbage spread cheythu,garbage
Garbage collection illa ivide,garbage
Waste dumping issue in area,garbage
Waste dumping issue in area,garbage
Garbage collection illa ivide,garbage
Garbage not collected near house,garbage
Garbage not collected near house,garbage
Garbage not collected near house,garbage
Garbage collection illa ivide,garbage
Waste dumping issue in area,garbage
vellam ketti kidakunnu,garbage
Public place il garbage spread cheythu,garbage
Garbage collection illa ivide,garbage
Garbage collection illa ivide,garbage
Waste dumping issue in area,garbage
Public place il garbage spread cheythu,garbage
Garbage not collected near house,garbage
Garbage collection illa ivide,garbage
Waste dumping issue in area,garbage
Garbage not collected near house,garbage
vellam ketti kidakunnu,garbage
Garbage collection illa ivide,garbage
Waste dumping issue in area,garbage
Garbage not collected near house,garbage
Public place il garbage spread cheythu,garbage
Public place il garbage spread cheythu,garbage
Garbage collection illa ivide,garbage
Public place il garbage spread cheythu,garbage
Waste dumping issue in area,garbage
Garbage collection illa ivide,garbage
Public place il garbage spread cheythu,garbage
Waste dumping issue in area,garbage
cheli vellam und,garbage
cheli vellam und,garbage
Garbage collection illa ivide,garbage
malinyam valich erinj erikunnu,garbage
Waste dumping issue in area,garbage
waste kutti ettirikunnu,garbage
Garbage not collected near house,garbage
Garbage collection illa ivide,garbage
Garbage collection illa ivide,garbage
Waste dumping issue in area,garbage
Waste dumping issue in area,garbage
Waste dumping issue in area,garbage
Waste dumping issue in area,garbage
Public place il garbage spread cheythu,garbage
" smell unbearable,waste in plastic bags",garbage
Garbage collection illa ivide,garbage
Garbage not collected near house,garbage
Garbage collection illa ivide,garbage
Waste dumping issue in area,garbage
Public place il garbage spread cheythu,garbage
Garbage collection illa ivide,garbage
waste koodi kidakunnu,garbage
Public place il garbage spread cheythu,garbage
Waste dumping issue in area,garbage
Waste dumping issue in area,garbage
Garbage collection illa ivide,garbage
Waste dumping issue in area,garbage
Garbage collection illa ivide,garbage
Garbage collection illa ivide,garbage
Garbage collection illa ivide,garbage
Waste dumping issue in area,garbage
Garbage collection illa ivide,garbage
Public place il garbage spread cheythu,garbage
malinamaya sthalam,garbage
Waste dumping issue in area,garbage
Garbage not collected near house,garbage
Garbage collection illa ivide,garbage
Public place il garbage spread cheythu,garbage
Garbage collection illa ivide,garbage
vrithi ellatha sthalam,garbage
Waste dumping issue in area,garbage
Garbage collection illa ivide,garbage
plastic waste dumped,garbage
Garbage collection illa ivide,garbage
Garbage collection illa ivide,garbage
" smell unbearable,waste in plastic bags",garbage
Garbage collection illa ivide,garbage
Garbage collection illa ivide,garbage
Garbage collection illa ivide,garbage
Garbage collection illa ivide,garbage
smell sahikkan pattunn illa,garbage
Garbage not collected near house,garbage
Waste dumping issue in area,garbage
Garbage not collected near house,garbage
moshamaya manam,garbage
Waste dumping issue in area,garbage
Garbage collection illa ivide,garbage
Garbage collection illa ivide,garbage
Garbage collection illa ivide,garbage
malinya koottam,garbage
Garbage not collected near house,garbage
Public place il garbage spread cheythu,garbage
Public place il garbage spread cheythu,garbage
Garbage collection illa ivide,garbage
waste dumped,garbage
Garbage not collected near house,garbage
"malinya koombaram ,smell unbearable",garbage
Garbage not collected near house,garbage
Garbage collection illa ivide,garbage
Garbage not collected near house,garbage
Garbage not collected near house,garbage
Waste dumping issue in area,garbage
Public place il garbage spread cheythu,garbage
Waste dumping issue in area,garbage
Garbage not collected near house,garbage
Waste dumping issue in area,garbage
Public place il garbage spread cheythu,garbage
Garbage collection illa ivide,garbage
Garbage collection illa ivide,garbage
Garbage collection illa ivide,garbage
Garbage collection illa ivide,garbage
Garbage collection illa ivide,garbage
Public place il garbage spread cheythu,garbage
Public place il garbage spread cheythu,garbage
Garbage collection illa ivide,garbage
Waste dumping issue in area,garbage
Waste dumping issue in area,garbage
Garbage not collected near house,garbage
Garbage collection illa ivide,garbage
Waste dumping issue in area,garbage
Garbage collection illa ivide,garbage
Garbage not collected near house,garbage
Garbage collection illa ivide,garbage
Waste dumping issue in area,garbage
Waste dumping issue in area,garbage
Garbage collection illa ivide,garbage
Garbage not collected near house,garbage
Garbage collection illa ivide,garbage
Garbage not collected near house,garbage
chandi valicherinju,garbage
" smell unbearable,dumping of waste",garbage
waste accumulation,garbage
Garbage collection illa ivide,garbage
Garbage collection illa ivide,garbage
Garbage collection illa ivide,garbage
Garbage collection illa ivide,garbage
Garbage not collected near house,garbage
Public place il garbage spread cheythu,garbage
Public place il garbage spread cheythu,garbage
kuzhi und,pothole
Huge pothole near bus stop,pothole
Huge pothole near bus stop,pothole
School front pothole dangerous,pothole
Huge pothole near bus stop,pothole
Bike skid due to pothole,pothole
Bike skid due to pothole,pothole
Bike skid due to pothole,pothole
Bike skid due to pothole,pothole
Bike skid due to pothole,pothole
nashamayi kidakunna road,pothole
Bike skid due to pothole,pothole
School front pothole dangerous,pothole
road il kuzhi und,pothole
Bike skid due to pothole,pothole
Bike skid due to pothole,pothole
Huge pothole near bus stop,pothole
School front pothole dangerous,pothole
Bike skid due to pothole,pothole
School front pothole dangerous,pothole
School front pothole dangerous,pothole
Huge pothole near bus stop,pothole
Bike skid due to pothole,pothole
School front pothole dangerous,pothole
School front pothole dangerous,pothole
School front pothole dangerous,pothole
Huge pothole near bus stop,pothole
Bike skid due to pothole,pothole
School front pothole dangerous,pothole
road il kuzhi und,pothole
School front pothole dangerous,pothole
Road il pothole und,pothole
Huge pothole near bus stop,pothole
road il kuzhi und,pothole
road il kuzhi und,pothole
road il kuzhi und,pothole
road il kuzhi und,pothole
road il kuzhi und,pothole
road il kuzhi und,pothole
School front pothole dangerous,pothole
Bike skid due to pothole,pothole
cracks on road,pothole
"Road il pothole und, worse aanu",pothole
Huge pothole near bus stop,pothole
School front pothole dangerous,pothole
Huge pothole near bus stop,pothole
not properly build road,pothole
Bike skid due to pothole,pothole
Huge pothole near bus stop,pothole
School front pothole dangerous,pothole
Huge pothole near bus stop,pothole
"kundum kuzhium und,metal elaki kidakunnu ",pothole
Huge pothole near bus stop,pothole
dangerous road,pothole
Bike skid due to pothole,pothole
Road il valiya hole ,pothole
School front pothole dangerous,pothole
School front pothole dangerous,pothole
thakarnna road,pothole
Bike skid due to pothole,pothole
kuzhi und,pothole
thalli poli road,pothole
Bike skid due to pothole,pothole
?,pothole
Huge pothole near bus stop,pothole
Bike skid due to pothole,pothole
Bike skid due to pothole,pothole
Bike skid due to pothole,pothole
kuzhi und,pothole
School front pothole dangerous,pothole
Bike skid due to pothole,pothole
School front pothole dangerous,pothole
Bike skid due to pothole,pothole
road mosham,pothole
Huge pothole near bus stop,pothole
road sari alla,pothole
School front pothole dangerous,pothole
Huge pothole near bus stop,pothole
moshamaya road,pothole
Huge pothole near bus stop,pothole
School front pothole dangerous,pothole
Huge pothole near bus stop,pothole
Huge pothole near bus stop,pothole
Bike skid due to pothole,pothole
Bike skid due to pothole,pothole
gutter und road il,pothole
gutter in road,pothole
Bike skid due to pothole,pothole
Road il pothole und,pothole
Bike skid due to pothole,pothole
kundum kuzhiyum und,pothole
kundum kuzhiyum und,pothole
gutter in road,pothole
Huge pothole near bus stop,pothole
School front pothole dangerous,pothole
Huge pothole near bus stop,pothole
kuzhi und,pothole
Huge pothole near bus stop,pothole
School front pothole dangerous,pothole
Bike skid due to pothole,pothole
Huge pothole near bus stop,pothole
School front pothole dangerous,pothole
"kundum kuzhium und,metal elaki kidakunnu ",pothole
Bike skid due to pothole,pothole
Bike skid due to pothole,pothole
Bike skid due to pothole,pothole
Bike skid due to pothole,pothole
Bike skid due to pothole,pothole
"kundum kuzhium und,metal elaki kidakunnu ",pothole
?,pothole
Bike skid due to pothole,pothole
whole in road,pothole
hole in road,pothole
Bike skid due to pothole,pothole
Huge pothole near bus stop,pothole
Huge pothole near bus stop,pothole
cheriya kuzhi und,pothole
"Road il pothole und, worse aanu",pothole
School front pothole dangerous,pothole
Huge pothole near bus stop,pothole
School front pothole dangerous,pothole
School front pothole dangerous,pothole
Bike skid due to pothole,pothole
School front pothole dangerous,pothole
valiya kuzhi,pothole
kundum kuzhiyum und,pothole
Bike skid due to pothole,pothole
kundum kuzhiyum und,pothole
kundum kuzhiyum und,pothole
Huge pothole near bus stop,pothole
kundum kuzhiyum und,pothole
Bike skid due to pothole,pothole
kundum kuzhiyum und,pothole
Bike skid due to pothole,pothole
Bike skid due to pothole,pothole
Bike skid due to pothole,pothole
Huge pothole near bus stop,pothole
Huge pothole near bus stop,pothole
Huge pothole near bus stop,pothole
Huge pothole near bus stop,pothole
"kundum kuzhium und,metal elaki kidakunnu ",pothole
"Road il pothole und,situation worse aanu",pothole
Huge pothole near bus stop,pothole
Huge pothole near bus stop,pothole
kundum kuzhiyum und,pothole
Bike skid due to pothole,pothole
kundum kuzhiyum und,pothole
Bike skid due to pothole,pothole
kundum kuzhiyum und,pothole
Bike skid due to pothole,pothole
Rain kazhinju water stagnate cheyyunnu,stagnant_water
Stagnant water causing mosquito issue,stagnant_water
Water logging near house,stagnant_water
Mosquito problem due to water,stagnant_water
Road il vellam ketti kidakunnu,stagnant_water
kuzhiyil vellam,stagnant_water
Stagnant water causing mosquito issue,stagnant_water
Water logging near house,stagnant_water
Stagnant water causing mosquito issue,stagnant_water
Stagnant water causing mosquito issue,stagnant_water
Water logging near house,stagnant_water
Rain kazhinju water stagnate cheyyunnu,stagnant_water
Rain kazhinju water stagnate cheyyunnu,stagnant_water
Stagnant water causing mosquito issue,stagnant_water
Water logging near house,stagnant_water
Mosquito problem due to water,stagnant_water
Road side il drainage water und,stagnant_water
Water logging near house,stagnant_water
Road il vellam ketti kidakunnu,stagnant_water
Rain kazhinju water stagnate cheyyunnu,stagnant_water
Road side il drainage water und,stagnant_water
Road il vellam ketti kidakunnu,stagnant_water
Stagnant water causing mosquito issue,stagnant_water
kuzhiyil vellam,stagnant_water
Rain kazhinju water stagnate cheyyunnu,stagnant_water
Rain kazhinju water stagnate cheyyunnu,stagnant_water
Stagnant water causing mosquito issue,stagnant_water
Water logging near house,stagnant_water
Rain kazhinju water stagnate cheyyunnu,stagnant_water
Rain kazhinju water stagnate cheyyunnu,stagnant_water
Mosquito problem due to water,stagnant_water
Water logging near house,stagnant_water
Rain kazhinju water stagnate cheyyunnu,stagnant_water
Water logging near house,stagnant_water
Stagnant water causing mosquito issue,stagnant_water
Stagnant water causing mosquito issue,stagnant_water
Water logging near house,stagnant_water
Rain kazhinju water stagnate cheyyunnu,stagnant_water
Rain kazhinju water stagnate cheyyunnu,stagnant_water
Mosquito problem due to water,stagnant_water
Rain kazhinju water stagnate cheyyunnu,stagnant_water
Road il vellam ketti kidakunnu,stagnant_water
Mosquito problem due to water,stagnant_water
Road il vellam ketti kidakunnu,stagnant_water
Stagnant water causing mosquito issue,stagnant_water
Road il vellam ketti kidakunnu,stagnant_water
"kundum kuzhium und,metal elaki kidakunnu ",stagnant_water
kuzhiyil vellam,stagnant_water
Stagnant water causing mosquito issue,stagnant_water
Road il vellam ketti kidakunnu,stagnant_water
Road side il vellam ketti nilunnu,stagnant_water
vellam ketti kidakunnu,stagnant_water
Rain kazhinju water stagnate cheyyunnu,stagnant_water
Stagnant water causing mosquito issue,stagnant_water
Stagnant water causing mosquito issue,stagnant_water
"kundum kuzhium und,metal elaki kidakunnu ",stagnant_water
Water logging near house,stagnant_water
Mosquito problem due to water,stagnant_water
Road side il drainage water und,stagnant_water
Rain kazhinju water stagnate cheyyunnu,stagnant_water
Water logging near house,stagnant_water
Stagnant water causing mosquito issue,stagnant_water
Rain kazhinju water stagnate cheyyunnu,stagnant_water
Mosquito problem due to water,stagnant_water
"kundum kuzhium und,metal elaki kidakunnu ",stagnant_water
Mosquito problem due to water,stagnant_water
Water logging near house,stagnant_water
"Road side il , kalakkavellam ketti kidakunnu",stagnant_water
Mosquito problem due to water,stagnant_water
kalakkavellam ketti kidakunnu,stagnant_water
Water logging near house,stagnant_water
vellam ketti kidakunnu,stagnant_water
Road side il drainage water und,stagnant_water
Water logging near house,stagnant_water
Water logging near house,stagnant_water
vellam ketti kidakunnu,stagnant_water
Water logging near house,stagnant_water
Stagnant water causing mosquito issue,stagnant_water
Rain kazhinju water stagnate cheyyunnu,stagnant_water
Road side il vellam ketti nilunnu,stagnant_water
Water logging near house,stagnant_water
Mosquito problem due to water,stagnant_water
Water logging near house,stagnant_water
Water logging near house,stagnant_water
Rain kazhinju water stagnate cheyyunnu,stagnant_water
Rain kazhinju water stagnate cheyyunnu,stagnant_water
Stagnant water causing mosquito issue,stagnant_water
Water logging near house,stagnant_water
Mosquito problem due to water,stagnant_water
Water logging near house,stagnant_water
Mosquito problem due to water,stagnant_water
"Road side il , kalakkavellam ketti kidakunnu",stagnant_water
Water logging near house,stagnant_water
Rain kazhinju water stagnate cheyyunnu,stagnant_water
Stagnant water causing mosquito issue,stagnant_water
Mosquito problem due to water,stagnant_water
Stagnant water causing mosquito issue,stagnant_water
"Road side il , kalakkavellam ketti kidakunnu",stagnant_water
Mosquito problem due to water,stagnant_water
Rain kazhinju water stagnate cheyyunnu,stagnant_water
Stagnant water causing mosquito issue,stagnant_water
Rain kazhinju water stagnate cheyyunnu,stagnant_water
Stagnant water causing mosquito issue,stagnant_water
Stagnant water causing mosquito issue,stagnant_water
Water logging near house,stagnant_water
Water logging near house,stagnant_water
Stagnant water causing mosquito issue,stagnant_water
Mosquito problem due to water,stagnant_water
Rain kazhinju water stagnate cheyyunnu,stagnant_water
Rain kazhinju water stagnate cheyyunnu,stagnant_water
"kundum kuzhium und,metal elaki kidakunnu ",stagnant_water
Water logging near house,stagnant_water
Water logging near house,stagnant_water
"kundum kuzhium und,metal elaki kidakunnu ",stagnant_water
Water logging near house,stagnant_water
Rain kazhinju water stagnate cheyyunnu,stagnant_water
Stagnant water causing mosquito issue,stagnant_water
Mosquito problem due to water,stagnant_water
"kundum kuzhium und,metal elaki kidakunnu ",stagnant_water
Water logging near house,stagnant_water
Water logging near house,stagnant_water
Rain kazhinju water stagnate cheyyunnu,stagnant_water
Mosquito problem due to water,stagnant_water
Stagnant water causing mosquito issue,stagnant_water
Rain kazhinju water stagnate cheyyunnu,stagnant_water
"kundum kuzhium und,metal elaki kidakunnu ",stagnant_water
Stagnant water causing mosquito issue,stagnant_water
Mosquito problem due to water,stagnant_water
"kundum kuzhium und,metal elaki kidakunnu ",stagnant_water
Water logging near house,stagnant_water
Rain kazhinju water stagnate cheyyunnu,stagnant_water
Mosquito problem due to water,stagnant_water
Mosquito problem due to water,stagnant_water
Rain kazhinju water stagnate cheyyunnu,stagnant_water
Water logging near house,stagnant_water
Stagnant water causing mosquito issue,stagnant_water
Rain kazhinju water stagnate cheyyunnu,stagnant_water
Mosquito problem due to water,stagnant_water
Mosquito problem due to water,stagnant_water
Mosquito problem due to water,stagnant_water
Water logging near house,stagnant_water
Mosquito problem due to water,stagnant_water
Rain kazhinju water stagnate cheyyunnu,stagnant_water
Mosquito problem due to water,stagnant_water
"Road side il , kalakkavellam ketti kidakunnu",stagnant_water
Stagnant water causing mosquito issue,stagnant_water
Water logging near house,stagnant_water
Mosquito problem due to water,stagnant_water
Water logging near house,stagnant_water
Stagnant water causing mosquito issue,stagnant_water
Street light not working at night,street_light
Street light not working at night,street_light
Street light not working at night,street_light
Street light near school broken,street_light
Light flickering and unsafe,street_light
Dark road due to broken street light,street_light
Dark road due to broken street light,street_light
Street light not working at night,street_light
Light flickering and unsafe,street_light
Street light not working at night,street_light
Dark road due to broken street light,street_light
Dark road due to broken street light,street_light
Street light work cheyyunnilla,street_light
Light flickering and unsafe,street_light
Street light not working at night,street_light
Street light not working at night,street_light
Light flickering and unsafe,street_light
Street light work cheyyunnilla,street_light
Street light near school broken,street_light
Street light work cheyyunnilla,street_light
Street light work cheyyunnilla,street_light
Street light work cheyyunnilla,street_light
Street light work cheyyunnilla,street_light
Street light work cheyyunnilla,street_light
Dark road due to broken street light,street_light
Dark road due to broken street light,street_light
Dark road due to broken street light,street_light
Dark road due to broken street light,street_light
Street light work cheyyunnilla,street_light
Street light near school broken,street_light
Street light work cheyyunnilla,street_light
Street light not working at night,street_light
Dark road due to broken street light,street_light
Street light near school broken,street_light
Light flickering and unsafe,street_light
Light flickering and unsafe,street_light
Street light work cheyyunnilla,street_light
Dark road due to broken street light,street_light
Street light near school broken,street_light
Street light near school broken,street_light
Light flickering and unsafe,street_light
Light flickering and unsafe,street_light
Street light near school broken,street_light
Light flickering and unsafe,street_light
Street light not working at night,street_light
Street light not working at night,street_light
Dark road due to broken street light,street_light
Light flickering and unsafe,street_light
Street light work cheyyunnilla,street_light
Street light not working at night,street_light
Dark road due to broken street light,street_light
Dark road due to broken street light,street_light
Light flickering and unsafe,street_light
Street light near school broken,street_light
Street light not working at night,street_light
Street light work cheyyunnilla,street_light
Street light not working at night,street_light
Dark road due to broken street light,street_light
Street light not working at night,street_light
Dark road due to broken street light,street_light
Street light work cheyyunnilla,street_light
Street light near school broken,street_light
Street light work cheyyunnilla,street_light
Light flickering and unsafe,street_light
Street light work cheyyunnilla,street_light
Dark road due to broken street light,street_light
Light flickering and unsafe,street_light
Dark road due to broken street light,street_light
Light flickering and unsafe,street_light
Street light near school broken,street_light
Street light work cheyyunnilla,street_light
Dark road due to broken street light,street_light
Street light near school broken,street_light
Dark road due to broken street light,street_light
Light flickering and unsafe,street_light
Street light not working at night,street_light
Street light work cheyyunnilla,street_light
Street light work cheyyunnilla,street_light
Street light not working at night,street_light
Dark road due to broken street light,street_light
Street light work cheyyunnilla,street_light
Dark road due to broken street light,street_light
Street light not working at night,street_light
Street light work cheyyunnilla,street_light
Street light not working at night,street_light
Street light work cheyyunnilla,street_light
Dark road due to broken street light,street_light
Dark road due to broken street light,street_light
Street light work cheyyunnilla,street_light
Light flickering and unsafe,street_light
Light flickering and unsafe,street_light
Street light not working at night,street_light
Street light not working at night,street_light
Street light near school broken,street_light
Street light near school broken,street_light
Light flickering and unsafe,street_light
Dark road due to broken street light,street_light
Street light not working at night,street_light
Light flickering and unsafe,street_light
Light flickering and unsafe,street_light
Street light work cheyyunnilla,street_light
Street light near school broken,street_light
Street light work cheyyunnilla,street_light
Street light near school broken,street_light
Street light not working at night,street_light
Street light work cheyyunnilla,street_light
Street light not working at night,street_light
Dark road due to broken street light,street_light
Light flickering and unsafe,street_light
Street light work cheyyunnilla,street_light
Street light near school broken,street_light
Light flickering and unsafe,street_light
Light flickering and unsafe,street_light
Street light not working at night,street_light
Light flickering and unsafe,street_light
Dark road due to broken street light,street_light
Street light work cheyyunnilla,street_light
Light flickering and unsafe,street_light
Light flickering and unsafe,street_light
Street light work cheyyunnilla,street_light
Street light work cheyyunnilla,street_light
Street light near school broken,street_light
Street light near school broken,street_light
Light flickering and unsafe,street_light
Street light work cheyyunnilla,street_light
Street light work cheyyunnilla,street_light
Dark road due to broken street light,street_light
Street light not working at night,street_light
Street light not working at night,street_light
Light flickering and unsafe,street_light
Street light work cheyyunnilla,street_light
Dark road due to broken street light,street_light
Light flickering and unsafe,street_light
Light flickering and unsafe,street_light
Dark road due to broken street light,street_light
Dark road due to broken street light,street_light
Dark road due to broken street light,street_light
Street light near school broken,street_light
Street light work cheyyunnilla,street_light
Light flickering and unsafe,street_light
Street light work cheyyunnilla,street_light
Street light work cheyyunnilla,street_light
Light flickering and unsafe,street_light
Dark road due to broken street light,street_light
Street light not working at night,street_light
Dark road due to broken street light,street_light
Street light near school broken,street_light
Street light work cheyyunnilla,street_light
Light flickering and unsafe,street_light
Light flickering and unsafe,street_light
Road il heavy traffic block und,traffic_block
Daily traffic jam near junction,traffic_block
Traffic congestion during office hours,traffic_block
Daily traffic jam near junction,traffic_block
Block due to accident,traffic_block
Block due to accident,traffic_block
Traffic congestion during office hours,traffic_block
Block due to accident,traffic_block
Road il heavy traffic block und,traffic_block
Traffic block every morning,traffic_block
Daily traffic jam near junction,traffic_block
Traffic congestion during office hours,traffic_block
Traffic congestion during office hours,traffic_block
Road il heavy traffic block und,traffic_block
Traffic congestion during office hours,traffic_block
Traffic congestion during office hours,traffic_block
Road il heavy traffic block und,traffic_block
Block due to accident,traffic_block
Traffic congestion during office hours,traffic_block
Traffic block every morning,traffic_block
Block due to accident,traffic_block
Road il heavy traffic block und,traffic_block
Road il heavy traffic block und,traffic_block
Road il heavy traffic block und,traffic_block
Daily traffic jam near junction,traffic_block
Block due to accident,traffic_block
Daily traffic jam near junction,traffic_block
Block due to accident,traffic_block
Block due to accident,traffic_block
Road il heavy traffic block und,traffic_block
Traffic block every morning,traffic_block
Road il heavy traffic block und,traffic_block
Traffic congestion during office hours,traffic_block
Road il heavy traffic block und,traffic_block
Daily traffic jam near junction,traffic_block
Traffic block every morning,traffic_block
Road il heavy traffic block und,traffic_block
Daily traffic jam near junction,traffic_block
Traffic congestion during office hours,traffic_block
Road il heavy traffic block und,traffic_block
Block due to accident,traffic_block
Traffic congestion during office hours,traffic_block
Daily traffic jam near junction,traffic_block
Block due to accident,traffic_block
Block due to accident,traffic_block
Traffic congestion during office hours,traffic_block
Block due to accident,traffic_block
Daily traffic jam near junction,traffic_block
Road il heavy traffic block und,traffic_block
Road il heavy traffic block und,traffic_block
Daily traffic jam near junction,traffic_block
Block due to accident,traffic_block
Daily traffic jam near junction,traffic_block
Daily traffic jam near junction,traffic_block
Daily traffic jam near junction,traffic_block
Block due to accident,traffic_block
Traffic block every morning,traffic_block
Road il heavy traffic block und,traffic_block
Traffic congestion during office hours,traffic_block
Block due to accident,traffic_block
Daily traffic jam near junction,traffic_block
Block due to accident,traffic_block
Block due to accident,traffic_block
Traffic block every morning,traffic_block
Daily traffic jam near junction,traffic_block
Traffic block every morning,traffic_block
Block due to accident,traffic_block
Traffic congestion during office hours,traffic_block
Road il heavy traffic block und,traffic_block
Block due to accident,traffic_block
Road il heavy traffic block und,traffic_block
Traffic congestion during office hours,traffic_block
Block due to accident,traffic_block
Traffic congestion during office hours,traffic_block
Road il heavy traffic block und,traffic_block
Road il heavy traffic block und,traffic_block
Daily traffic jam near junction,traffic_block
Traffic congestion during office hours,traffic_block
Road il heavy traffic block und,traffic_block
Traffic congestion during office hours,traffic_block
Block due to accident,traffic_block
Block due to accident,traffic_block
Traffic block every morning,traffic_block
Traffic congestion during office hours,traffic_block
Road il heavy traffic block und,traffic_block
Block due to accident,traffic_block
Traffic congestion during office hours,traffic_block
Traffic congestion during office hours,traffic_block
Block due to accident,traffic_block
Traffic congestion during office hours,traffic_block
Daily traffic jam near junction,traffic_block
Traffic congestion during office hours,traffic_block
Traffic congestion during office hours,traffic_block
Road il heavy traffic block und,traffic_block
Block due to accident,traffic_block
Traffic congestion during office hours,traffic_block
Block due to accident,traffic_block
Block due to accident,traffic_block
Daily traffic jam near junction,traffic_block
Daily traffic jam near junction,traffic_block
Block due to accident,traffic_block
Road il heavy traffic block und,traffic_block
Daily traffic jam near junction,traffic_block
Block due to accident,traffic_block
Traffic block every morning,traffic_block
Block due to accident,traffic_block
Traffic congestion during office hours,traffic_block
Traffic block every morning,traffic_block
